SampleID	IndividualID	PopulationID
1	0K04	Japan
2	ECA160	MHI
3	ECA161	MHI
4	ECA167	MHI
5	ECA169	MHI
6	ECA172	MHI
7	ECA173	MHI
8	ECA174	MHI
9	ECA175	MHI
10	ECA180	MHI
11	ECA188	MHI
12	ECA197	MHI
13	ECA201	MHI
14	ECA202	MHI
15	ECA243	NWHI
16	ECA244	NWHI
17	ECA247	NWHI
18	ECA248	NWHI
19	ECA249	NWHI
20	ECA250	NWHI
21	ECA251	NWHI
22	ECA252	NWHI
23	ECA268	NWHI
24	ECA271	NWHI
25	ECA272	NWHI
26	ECA273	NWHI
27	ECA490	NWHI
28	ECA494	NWHI
29	ECA495	NWHI
30	ECA497	NWHI
31	ECA499	NWHI
32	ECA500	NWHI
33	ECA501	NWHI
34	ECA502	NWHI
35	ECA503	NWHI
36	ECA504	NWHI
37	ECA505	NWHI
38	ECA506	NWHI
39	ECA507	NWHI
40	ECA510	NWHI
41	ECA512	NWHI
42	MAUI01	MHI
43	OK01	Japan
44	OK02	Japan
45	OK03	Japan
46	OK05	Japan
47	OK06	Japan
48	OK07	Japan
49	OK08	Japan
50	OK10	Japan
51	OK11	Japan
52	OK12	Japan
53	OK13	Japan
54	OK14	Japan
55	OK15	Japan