Locus_Index,Panmixia_TI,Panmixia_BTI,Panmixia_HS,Full_TI,Full_BTI,Full_HS,DGF3_TI,DGF3_BTI,DGF3_HS
1,-451.25,-446.76,-445.58,-457.43,-452.81,-451.53,-455,-450.43,-448.99
2,-525.06,-493.4,-450.65,-527.78,-500.01,-452.91,-526.34,-498.57,-452.01
3,-422.41,-418.23,-416.77,-427.33,-423.04,-421.71,-424.58,-420.36,-419.29
4,-434.53,-430.01,-428.03,-438.99,-434.41,-431.76,-437.06,-432.51,-430.42
5,-435.34,-430.91,-425.57,-440.34,-435.91,-429.35,-437.93,-433.44,-427.46
6,-507.54,-492.37,-475.88,-514.87,-502.35,-480.13,-514.67,-502.61,-479.23
7,-555.88,-512.86,-451,-557.45,-519.3,-453.79,-556.67,-518.24,-453.37
8,-486.57,-474.84,-457.57,-489.32,-479.24,-459.55,-489.79,-480.8,-458.26
9,-469.69,-464.65,-454.13,-475.47,-470.92,-457.74,-475.59,-470.71,-456.88
10,-402.27,-398.26,-392.63,-405.5,-401.21,-396.26,-402.99,-398.56,-394.44
11,-484.85,-478.19,-453.78,-489.49,-484.1,-455.86,-488.21,-482.42,-454.79
12,-485.59,-479.39,-461.18,-489.15,-484.02,-462.46,-488.37,-482.68,-461.29
13,-549.81,-544.39,-540.11,-556.34,-550.86,-544.73,-554.6,-549.13,-543.86
14,-1625.27,-1038.6,-665.32,-1949.52,-1110.77,-683.99,-1954.96,-1119.19,-689.33
15,-683.28,-672.78,-598.85,-693.6,-684.23,-605.67,-693.04,-683.64,-607.02
16,-712.58,-690.54,-649.81,-716.35,-697.03,-652.43,-715.46,-695.74,-651.88
17,-443.58,-433.49,-431.17,-448.11,-439.35,-433.92,-444.7,-434.96,-432.14
18,-415.93,-411.8,-410.19,-421.54,-417.27,-415.56,-419.28,-415.07,-413.19
19,-434.51,-430.15,-427.81,-440.05,-435.58,-431.83,-437.78,-433.38,-430.33
20,-462.52,-445.07,-389.33,-460.64,-445.04,-391.43,-458.89,-442.9,-390.16
21,-565.98,-560.29,-559.57,-571.95,-566.13,-564.94,-569.2,-563.43,-562.58
22,-445.4,-439.7,-424.52,-447.32,-442.15,-427.36,-447.28,-442.03,-426.34
23,-480.28,-475.54,-474.64,-486.51,-481.6,-480.61,-484.02,-479.16,-478.51
24,-459.44,-454.29,-439.6,-462.71,-457.69,-442.31,-460.57,-455.29,-441.28
25,-2197.88,-1282.74,-825.05,-2684.77,-1393.36,-869.58,-2686.76,-1398.53,-882.49
26,-490.77,-485.75,-480.41,-497.71,-492.76,-484.59,-496.36,-491.4,-483.92
27,-484.11,-478.98,-471.19,-490.68,-485.69,-474.43,-487.99,-483.07,-472.68
28,-454.43,-447.4,-426.65,-457.98,-452.27,-429.11,-455.4,-449.43,-427.8
29,-529.96,-487.29,-432.1,-533.98,-495.99,-435.04,-533.35,-495.42,-433.77
30,-443.19,-438.75,-436.45,-448.66,-444.13,-440.44,-446.31,-441.85,-438.55
31,-824.27,-801.97,-742.22,-829.47,-811.94,-744.28,-832.79,-815.52,-746.12
32,-427.77,-423.44,-421.37,-432.71,-428.27,-425.86,-432.04,-427.57,-427.04
33,-425.24,-419.9,-406.78,-428.95,-424.55,-409.22,-426.25,-421.67,-407.23
34,-423.15,-418.95,-417.45,-426.97,-422.67,-421.4,-424.83,-420.56,-419.54
35,-638.89,-632.18,-624.16,-642.59,-635.91,-626.87,-640.07,-633.21,-625.75
36,-468.86,-463.79,-459.82,-472.7,-467.78,-462.34,-470.8,-465.87,-460.87
37,-629.14,-620.01,-584.68,-631.36,-623.04,-586.87,-629.88,-621.15,-585.86
38,-426.61,-422.37,-420.93,-431.78,-427.43,-425.45,-431.13,-426.75,-427
39,-474.91,-468.97,-453.64,-479.42,-474.21,-456.15,-477,-471.55,-454.77
40,-2101.13,-1244.8,-809.35,-2550.65,-1339.57,-829.73,-2551.6,-1339.19,-837.17
41,-611.59,-599.03,-556.33,-616.41,-606.64,-558.05,-616.6,-607.05,-558.94
42,-2231.2,-1341.11,-858.83,-2712.95,-1455.99,-901.26,-2713.22,-1453.67,-915.75
43,-703.93,-668.33,-609.18,-708.06,-676.03,-613.4,-707.93,-676.2,-612.61
44,-532.75,-520.2,-482.4,-536.07,-526.14,-484.13,-536.75,-526.65,-483.91
45,-428.82,-424.55,-423.24,-432.8,-428.44,-427.19,-430.3,-425.95,-425.25
46,-445.3,-439.77,-430.58,-449.8,-445.16,-433.78,-448.06,-443.51,-432.26
47,-2487.17,-1190.63,-667.47,-3137.62,-1305.32,-674.28,-3144.75,-1319.25,-685.21
48,-582.31,-576.43,-580.66,-587.21,-581.27,-585.01,-584.77,-578.86,-583.09
49,-2030.11,-1190.01,-753.83,-2472.49,-1274.7,-768.43,-2472.77,-1279.59,-769.99
50,-1641.63,-1043.92,-676.23,-1969.33,-1114.79,-685.41,-1975.21,-1122.9,-693.03
51,-2953.44,-1375.58,-752.03,-3755.4,-1537.51,-805.36,-3770.32,-1557.34,-810.16
52,-454.32,-448.31,-435.86,-458.98,-453.96,-438.53,-457.78,-452.43,-437.04
53,-2569,-1205.93,-664.13,-3256.62,-1342.7,-703.23,-3268.11,-1359.37,-705.8
54,-3921.65,-1643.4,-921.43,-5018.28,-1838.74,-948.44,-5024.85,-1854.77,-969.37
55,-514.14,-474.53,-426.88,-514.3,-480.56,-429.66,-512.1,-477.91,-428.18
56,-2166.42,-1251.69,-830.74,-2635.11,-1339.38,-831.26,-2635.08,-1345.97,-844.78
57,-629.49,-617.45,-556.74,-629.43,-618.14,-558.51,-630.85,-619.08,-560.26
58,-506.9,-500.27,-480.99,-509.49,-503.74,-482.39,-508.53,-502.32,-482.15
59,-703.4,-660.35,-613.1,-707.4,-668.8,-616.63,-707.72,-669.72,-616.1
60,-479.79,-471.71,-455.22,-485.19,-478.63,-458.1,-483.91,-477.23,-456.84
61,-422.35,-417.07,-399.29,-428.84,-424.39,-402.27,-429.43,-424.58,-403.43
62,-1601.88,-1072.09,-705.57,-1902.15,-1137.13,-722.88,-1900.94,-1138.44,-722.13
63,-2057.17,-1284.33,-856.9,-2480.8,-1384.22,-898.1,-2482.04,-1389.29,-900.44
64,-1463.81,-991.02,-648.8,-1729.49,-1050.17,-656.98,-1730.57,-1053.01,-659.48
65,-449.96,-445.06,-438.48,-452.29,-447.31,-441.39,-450.05,-444.89,-439.89
66,-625.85,-615.57,-587.86,-632.52,-624.36,-590.89,-631.88,-623.57,-590.36
67,-1926.52,-1181.37,-775.7,-2326.67,-1268.94,-800.63,-2330.96,-1275.6,-815.14
68,-551.06,-544.43,-502.76,-551.48,-544.26,-506.3,-551.76,-543.99,-507.19
69,-466.16,-459.15,-441.07,-471.02,-465.25,-443.66,-469.58,-463.25,-442.71
70,-448.66,-443.64,-426.76,-452.25,-447.57,-428.71,-449.57,-444.7,-427.81
71,-520.7,-498.45,-459.26,-521.59,-501.25,-461.18,-520.6,-500.08,-460.21
72,-2904.27,-1310.5,-736.03,-3701.4,-1457.89,-755.56,-3710.24,-1477.79,-769.31
73,-500.75,-472.5,-430.7,-501.82,-477.18,-433.67,-500.37,-475.56,-432.02
74,-478.12,-471.09,-454.22,-483.2,-477.62,-457.75,-480.85,-474.97,-456.1
75,-518.7,-511.33,-476.18,-521.05,-514.49,-478.39,-522.02,-514.9,-480.01
76,-503.21,-497,-483.77,-509.44,-504.4,-486.22,-507.99,-502.77,-485.39
77,-637.23,-627.89,-589.15,-639.99,-631.08,-591.47,-638.85,-629.57,-591.14
78,-416.45,-412.31,-409.99,-420.49,-416.24,-413.87,-418.65,-414.41,-412.11
79,-454.96,-449.38,-431.85,-462.42,-457.62,-435.08,-461.22,-456.35,-434.94
80,-1743.1,-1076.79,-668.2,-2106.02,-1154.79,-696.7,-2111.51,-1160.78,-704.54
81,-469.84,-463.97,-453.47,-472.19,-467.11,-455.5,-472.82,-467.65,-454.04
82,-459.46,-454.68,-451.36,-462.15,-457.29,-454.37,-459.63,-454.69,-452.3
83,-556.46,-542.31,-505.96,-559.31,-547.55,-508.25,-559,-546.76,-506.85
84,-530.13,-524.79,-523.79,-533.57,-528.1,-527.57,-530.69,-525.17,-525.38
85,-562.65,-553.47,-532.04,-568.2,-560.18,-535.21,-566.89,-558.58,-534.16
86,-563,-556.75,-492.31,-577.78,-571.59,-503.53,-577.6,-571.34,-504.31
87,-460.19,-453.85,-433.18,-463.39,-457.83,-435.74,-462.05,-456.3,-434.26
88,-589.44,-583.49,-569.72,-594.94,-589.06,-573.33,-592,-585.71,-571.37
89,-432.33,-427.31,-418.47,-438.21,-434.18,-422.13,-437.39,-433.17,-420.81
90,-2554.35,-1195.46,-660.51,-3239.64,-1333.32,-688.6,-3249.58,-1351.62,-693.81
91,-571.79,-564.73,-539.59,-575.11,-568.38,-542.37,-576.33,-568.82,-544.7
92,-568.38,-561.73,-538.25,-573.75,-567.52,-540.99,-570.34,-564.06,-539.09
93,-527.49,-520.38,-497.94,-529.29,-522.71,-498.95,-526.16,-519.41,-496.93
94,-529.09,-521.79,-503.69,-534.56,-528.68,-506.07,-533.26,-527.19,-505.1
95,-472.36,-461.32,-447.39,-475.94,-466.94,-448.99,-473.88,-464.54,-447.38
96,-582.79,-576.98,-576.17,-588.39,-582.48,-580.87,-585.2,-579.33,-578.37
97,-640.6,-628.34,-613.73,-641.62,-630.04,-615.74,-642.04,-630.92,-615.86
98,-482.27,-474.91,-443.37,-486.96,-480.15,-445.96,-485.18,-478.12,-445.53
99,-484.87,-473.88,-446.75,-485.76,-475.84,-448.5,-482.17,-471.57,-446.47
100,-578.39,-570.34,-556.55,-582.52,-575.2,-559.29,-579.51,-571.7,-557.62
101,-1723.42,-1065.56,-672.09,-2097.1,-1156.43,-715.3,-2105.7,-1166.96,-718.33
102,-490.29,-485.14,-474.13,-500.86,-495.39,-481.59,-498.83,-493.36,-482.9
103,-435.7,-431.22,-425.37,-440.11,-435.87,-428.84,-440.61,-436.23,-428.02
104,-468.1,-462.55,-451.93,-469.74,-464.16,-454.09,-469.5,-463.6,-455
105,-1834.34,-1136.11,-736.53,-2237.8,-1252.99,-771.93,-2240.11,-1255.68,-797.87
106,-567.16,-559.72,-536.28,-569.23,-562.39,-536.97,-566.88,-559.67,-535.04
107,-419.5,-415.37,-413.56,-425.28,-420.99,-418.17,-423.16,-418.93,-416.25
108,-2241.7,-1297.39,-830.55,-2753.13,-1411.97,-881.28,-2747.49,-1412.35,-884.87
109,-546.33,-529.13,-476.07,-549.26,-533.43,-479.83,-547.87,-531.93,-478.58
110,-509.53,-504.5,-503.46,-512.77,-507.56,-507.4,-510.56,-505.32,-505.84
111,-420.98,-415.98,-400.98,-424.48,-419.74,-403.64,-421.67,-416.65,-401.92
112,-508.17,-500.35,-465.61,-510.55,-503.98,-467.28,-510,-503.48,-465.94
113,-461.24,-454.29,-433.07,-462.9,-455.88,-434.86,-461.91,-454.94,-434.05
114,-1668.47,-1037.53,-650.4,-2024.29,-1124.76,-665.88,-2037.43,-1142.36,-697.87
115,-441.04,-436.53,-433.78,-445.61,-441.01,-437.15,-442.98,-438.42,-434.65
116,-1603.4,-1029.32,-662.97,-1921.9,-1097.04,-674.05,-1929.46,-1106.74,-675.64
117,-475.34,-467.8,-436.27,-479.16,-472.39,-438.64,-478.08,-471.15,-437.7
118,-1566.49,-1028.53,-645.3,-1875.46,-1098.56,-674.32,-1880.36,-1106.3,-677.79
119,-579.7,-551.64,-480.82,-580.44,-555.77,-484.53,-576.41,-550.9,-482.78
120,-418.12,-413.97,-412.4,-421.91,-417.65,-416.34,-419.76,-415.53,-414.59
121,-549.83,-540.35,-500.93,-551.89,-543.81,-502.72,-550.05,-541.58,-502
122,-439.96,-435.24,-426.5,-444.79,-440.24,-430.11,-443.15,-438.35,-428.86
123,-422.53,-418.33,-416.67,-425.19,-420.87,-420.14,-422.46,-418.1,-417.86
124,-503.45,-491.81,-446.71,-508.26,-498.82,-449.34,-506.64,-497.06,-448.15
125,-476.32,-468.09,-457.39,-483.94,-478.19,-460.06,-481.95,-475.72,-460.27
126,-2481.66,-1201.85,-668.67,-3139.43,-1338.14,-701.56,-3142.34,-1342.65,-711.51
127,-459.73,-452.12,-435.06,-465.03,-458.94,-437.71,-462.87,-456.51,-436.34
128,-563.47,-556.84,-538.47,-565.42,-558.95,-540.98,-562.27,-555.45,-539
129,-510.96,-501.38,-458.18,-515.97,-508.55,-460.99,-516.38,-508.5,-461.04
130,-497.55,-490.68,-472.93,-501.18,-494.97,-474.17,-498.01,-491.62,-473.09
131,-453.27,-445.07,-422.46,-454.85,-447.58,-424.95,-452.38,-444.93,-423.09
132,-1732.93,-1061.23,-670.77,-2090.43,-1130.04,-679.57,-2096.19,-1138.93,-690.18
133,-564.82,-558.68,-554.04,-567.61,-561.41,-556.69,-565.68,-559.38,-555.82
134,-615.43,-607.2,-583.19,-622.12,-615.49,-585.49,-621.69,-614.69,-584.75
135,-456.5,-449.69,-432.28,-462.14,-456.59,-435.59,-461.28,-455.6,-434.34
136,-432.32,-428.02,-426.44,-437.11,-432.71,-430.85,-436.64,-432.2,-433.15
137,-1592.65,-1013.55,-647.47,-1907.85,-1079.12,-657.64,-1915.72,-1088.68,-652.75
138,-477.01,-470.66,-455.78,-480.72,-475.46,-457.59,-479.36,-473.95,-456.75
139,-487.63,-479.06,-466.34,-489.93,-483.25,-468.02,-488.24,-480.65,-467.65
140,-582.9,-576.51,-565.07,-585.53,-579.06,-567.57,-583.66,-576.84,-566.39
141,-3844.59,-1635.85,-942.11,-4936.16,-1843.34,-980.69,-4943.94,-1855.2,-989.03
142,-435.15,-430.83,-428.84,-438.86,-434.41,-432.48,-436.45,-431.99,-430.67
143,-2495.96,-1177.02,-653.98,-3169.29,-1308.3,-674.63,-3169.71,-1313.86,-685.16
144,-609.54,-597.4,-585.07,-610.44,-598.73,-587.92,-609.98,-598.95,-587.11
145,-497.7,-483.43,-458.32,-500.68,-488.1,-461.33,-500.52,-488.16,-459.73
146,-664.65,-645.93,-630.47,-670.21,-654.08,-633.13,-664.25,-646.24,-631.21
147,-505.67,-495.64,-465.24,-509.41,-501.36,-467.04,-509.14,-500.7,-466.27
148,-521.85,-515.27,-496.36,-530.39,-525.59,-499.35,-530.6,-525.83,-499.73
149,-567.02,-556.94,-519.15,-575.49,-566.09,-525.94,-573.47,-563.62,-525.91
150,-1969.66,-1176.83,-733.71,-2388.8,-1260.65,-752.35,-2390.18,-1261.44,-768.99
151,-515.94,-504.63,-457.41,-515.24,-504.42,-459.19,-514.46,-502.82,-459.08
152,-437.56,-433.04,-426.92,-442.34,-437.78,-430.63,-439.65,-435.03,-429.2
153,-593.47,-586.39,-564.85,-598.3,-591.08,-567.21,-596.33,-588.66,-566.64
154,-767.69,-752.8,-696.05,-776.81,-765.11,-699.1,-777.9,-765.67,-700.64
155,-579.11,-548.89,-486.66,-583.9,-558.42,-488.14,-580.77,-554.82,-487.04
156,-1705.85,-1075.15,-685.76,-2051.81,-1150.03,-706.2,-2050.6,-1149.56,-713.18
157,-415.86,-411.74,-410.07,-418.62,-414.35,-413.53,-416.5,-412.21,-412.07
158,-531.54,-502.15,-476.88,-532.81,-506.1,-479.01,-532.33,-505.84,-478.59
159,-606.2,-598.93,-580.61,-612.43,-606.45,-583.57,-608.63,-602.34,-581.75
160,-321.67,-318.41,-315.12,-323.74,-320.42,-317.65,-321.3,-317.9,-315.68
161,-473.46,-465.31,-448.9,-478.81,-472.18,-451.69,-477.64,-470.57,-450.45
162,-630.14,-610.08,-554.79,-634.93,-617.65,-557.6,-632.61,-614.28,-557.12
163,-476.9,-470.09,-446.46,-479.59,-473.88,-448.4,-481.34,-475.01,-449.92
164,-432.94,-428.53,-431.31,-436.37,-431.92,-434.46,-434.17,-429.74,-432.53
165,-443.01,-438.56,-436.51,-448.46,-443.87,-441.61,-446.31,-441.78,-439.57
166,-438.6,-433.9,-425.24,-443.55,-439.1,-428.67,-441.05,-436.37,-427.44
167,-504.97,-499.79,-496.26,-510.49,-505.19,-500.47,-507.23,-501.97,-497.78
168,-1805.41,-1133.3,-718.28,-2207.46,-1266.54,-775.36,-2207.47,-1269.28,-784.04
169,-338.65,-332.68,-329.79,-341.3,-335.7,-332.49,-338.84,-332.71,-330.94
170,-418.28,-414.07,-417.33,-422.31,-418.04,-420.98,-420.1,-415.88,-419.16
171,-500.51,-494.01,-474.35,-501.39,-494.92,-475.24,-499.44,-492.73,-475.02
172,-1953.57,-1164.02,-748.41,-2365.39,-1240.78,-755.39,-2365.73,-1245.96,-768.08
173,-501.54,-491.25,-448.9,-509.28,-501.39,-451.82,-508.71,-500.59,-451.2
174,-1584.54,-1067.85,-708.58,-1887.06,-1144.55,-737.8,-1890.15,-1147.02,-743.35
175,-631.45,-586.53,-504.42,-632.32,-592.47,-505.92,-632.97,-593.61,-505.51
176,-421.22,-414.38,-382.79,-425.36,-419.91,-385.49,-427.06,-420.95,-387.97
177,-556.58,-550.79,-543.67,-561.82,-556.19,-547.05,-561.6,-555.83,-546.48
178,-600.73,-591.83,-568.39,-605.95,-597.55,-571.44,-603.39,-593.94,-572.28
179,-443.54,-439.12,-432.29,-448.58,-444.03,-436.12,-445.88,-441.25,-433.84
180,-1719.87,-1082.83,-694.34,-2070.62,-1159.23,-719.01,-2072.5,-1161.63,-718.4
181,-661.81,-655.24,-655.82,-669.45,-662.71,-662.51,-666.93,-660.26,-660.32
182,-421.8,-417.55,-415.17,-423.74,-419.35,-417.95,-421.83,-417.39,-416.88
183,-446.39,-441.92,-436.7,-453.13,-448.73,-441.06,-452.05,-447.6,-439.8
184,-442.13,-437.4,-426.75,-444.81,-440.12,-429.9,-442.73,-437.82,-428.24
185,-466.03,-461.05,-457.24,-467.81,-462.81,-459.44,-465.59,-460.5,-457.53
186,-438.65,-433.33,-421.44,-444.31,-439.83,-424.71,-443.72,-438.87,-423.36
187,-1760.83,-1089.05,-701.4,-2126.1,-1166.44,-711.84,-2133.9,-1177.77,-717.17
188,-461.06,-455.77,-444.51,-466.6,-461.84,-447.21,-463.47,-458.66,-444.91
189,-459,-453.41,-438.02,-464.9,-460.46,-440.25,-462.95,-458.23,-439.21
190,-503.77,-497,-470.93,-507.59,-502.05,-473.63,-508.36,-502.44,-474.96
191,-1598.87,-1027.71,-658.41,-1920.99,-1099.95,-676.3,-1921.18,-1101.98,-678.24
192,-351.31,-347.82,-345.57,-354.92,-351.34,-349.35,-352.66,-349.09,-347.43
193,-459.45,-453.77,-441.63,-464.64,-459.9,-444.52,-464,-459.01,-443.83
194,-440.26,-435.76,-429.03,-445.09,-440.67,-432.31,-442.69,-438.26,-430.45
195,-443.8,-439.33,-437.37,-447.8,-443.27,-441.25,-444.96,-440.47,-438.75
196,-514.45,-502.39,-477.26,-517.8,-506.98,-478.5,-518.11,-508.33,-478.12
197,-467.19,-453.51,-444.59,-467.57,-454.85,-446.91,-463.7,-450.18,-444.5
198,-437.04,-429.81,-401.93,-441.62,-436.44,-404.5,-444.51,-439.1,-404.66
199,-485.88,-480.85,-479.46,-490.74,-485.65,-483.98,-488.68,-483.62,-482.5
200,-465,-456.95,-439.39,-467.12,-459.51,-441.7,-464.57,-456.5,-440.29
201,-546.45,-520.37,-462.83,-552.29,-530.49,-465.42,-550.26,-527.9,-463.78
202,-445.3,-440.65,-434.99,-449.7,-445.04,-438.5,-447.16,-442.42,-436.25
203,-608.9,-571.71,-524.87,-610.85,-577.77,-526.82,-611.96,-579.29,-526.74
204,-519.92,-512.24,-475.49,-530.29,-524.15,-482.05,-529.75,-523.18,-482.57
205,-487.32,-478.94,-446.86,-495.24,-488.48,-450.19,-494.88,-487.8,-451.64
206,-472.73,-467.83,-464.66,-475.35,-470.36,-467.63,-473.08,-468.04,-465.92
207,-1662.71,-1045.16,-663.58,-2004.47,-1122.53,-690.9,-2013.01,-1133.25,-697.56
208,-488.08,-481.47,-463.93,-492.65,-487.29,-465.26,-491.05,-485.44,-463.21
209,-1657.05,-1023.33,-644.96,-2000.31,-1095.05,-656.55,-2007.91,-1105.75,-668.29
210,-506.27,-500.43,-475.74,-514.02,-508.48,-480.43,-512.43,-506.72,-481.18
211,-469.13,-461.92,-441.59,-471.81,-465.04,-444.14,-469.23,-462.06,-442.87
212,-488.21,-482.58,-468.08,-493.62,-488.77,-471.07,-493.8,-488.78,-470.61
213,-482.68,-475.4,-443.53,-483.77,-476.49,-445.71,-481.08,-473.43,-444.58
214,-594.97,-586.24,-570.36,-601.06,-594.12,-573.62,-599.53,-592.16,-572.24
215,-424.67,-420.4,-418.09,-428.26,-423.88,-421.82,-425.78,-421.38,-419.91
216,-441.48,-437.04,-434.77,-443.84,-439.26,-438.09,-441.72,-437.08,-436.65
217,-512.32,-505.81,-487.31,-513.96,-507.46,-489.59,-511.9,-505.22,-487.99
218,-432.24,-427.89,-425.93,-436.92,-432.49,-430.01,-434.33,-429.94,-427.82
219,-431.27,-426.71,-420.74,-437.82,-433.62,-424.69,-436.88,-432.55,-423.41
220,-441.85,-437.15,-427.41,-447.72,-443.45,-431.31,-446.4,-441.94,-429.78
